transaction_id,user_id,transaction_amount,transaction_date,is_foreign_transaction,transaction_type
bdd640fb-0667-4ad1-9c80-317fa3b1799d,896,8736.93,2022-09-23,1,refund
bc8960a9-23b8-41e9-b924-56de3eb13b90,389,7469.28,2022-07-18,1,cash withdrawal
8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,469,7821.69,2022-07-12,0,refund
07a0ca6e-0822-48f3-ac03-1199972a8469,295,3633.25,2022-07-15,1,purchase
9a1de644-815e-46d1-bb8f-aa1837f8a88b,342,7767.05,2022-06-19,0,cash withdrawal
a65ed389-b74d-4fb1-b2e7-06298fadc1a6,189,2554.78,2023-03-08,1,purchase
72ff5d2a-386e-4be0-ab65-a6a48b8148f6,305,676.09,2023-01-23,0,refund
01a9e71f-de8a-474b-8f36-d58b47378190,444,9752.11,2023-03-30,1,purchase
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,509,3441.45,2022-10-19,0,refund
f50bea63-371e-4d7b-a7cd-813047229389,12,5529.35,2023-04-01,1,purchase
6142ea7d-17be-4111-9a2a-73ed562b0f79,350,6983.1,2022-07-16,0,refund
9a8dca03-580d-4b71-98f5-64135be6128e,697,7145.18,2022-09-19,0,cash withdrawal
759cde66-bacf-43d0-8b1f-9163ce9ff57f,556,6850.14,2023-01-03,0,refund
60e7a113-ec1b-4ca1-b91e-1d4c1ff49b78,276,5857.38,2022-07-09,0,purchase
a0ee89ae-d453-4d32-8b0d-bb418d5288f1,607,7152.66,2023-02-04,1,purchase
93cd59bf-5c94-4cf0-9c98-d2c1e2acf72f,106,8459.2,2022-08-22,0,purchase
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,894,2517.89,2022-09-05,1,cash withdrawal
146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,123,2628.6,2023-05-07,0,purchase
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,473,6874.92,2022-09-24,0,refund
5d65a441-d588-42de-a2bc-372f7412b293,117,6873.12,2022-08-11,1,refund
ab9099a4-35a2-40ae-9af3-05535ec42e08,328,5966.08,2022-09-20,0,refund
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,995,3623.92,2022-07-06,0,purchase
88bd6407-2bcf-4e01-a28d-efe39bf00273,960,3610.68,2023-03-19,1,refund
6123fdf7-7656-4f72-a9d4-beef3eabedcb,495,1539.12,2022-09-21,0,cash withdrawal
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,185,6275.51,2023-01-11,1,cash withdrawal
d7c524a5-5304-417f-af42-e12f3838b326,628,2772.35,2023-04-03,0,purchase
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,385,8478.66,2022-06-21,1,refund
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,245,9000.21,2022-07-04,1,cash withdrawal
9132b63e-f162-47e4-a9c3-49e03602f8ac,102,6151.81,2023-05-15,0,cash withdrawal
a7cad415-366e-416f-908e-bad7b7c93acf,260,2773.29,2022-12-19,0,refund
a491f0b2-ea1f-4a65-a27a-984d654821d0,184,5578.47,2022-12-04,0,cash withdrawal
3f22faf8-23be-401d-83cf-2fde24933b83,852,7210.94,2023-03-25,0,cash withdrawal
